"Budapest Bank","JavaScript - AJAX","2008","10191","6","Web"
"Ness - FMC","Office 2003 csomag, PowerPoint, Excel, Word haladó szinten","2008","10192","30","Irodai"
"METRO - Budaőrs","Excel VBA programozás","2008","10193","15","Irodai"
"Wildom Kft.","Java alapú webfejlesztés","2008","10194","5","programozás"
"Computrend Kft.","Java alapú webalkalmazások","2008","10195","6","Programozás"
"Raiffeisen Leasing ZRt.","dotNET fejlesztés: Ajax, biztonság, SharePoint alapú alkalmazások","2008","10196","4","Programozás"
"Ericsson Magyarország","Egyedi Excel VBA fejlesztés","2008","10197","0","VBA fejlesztés"
"Nissan Magyarország","Egyedi Excel VBA fejlesztés","2008","10198","0","VBA fejlesztés"
"Stromboly Event Kft.","Egyedi Excel VBA fejlesztés","2008","10199","0","VBA fejlesztés"
"Stromboly Event Kft.","Egyedi Excel VBA fejlesztés","2008","10200","0","VBA fejlesztés"
"Ecolab-Hygiene Kft.","Egyedi Access fejlesztés","2009","10201","0","VBA fejlesztés"
"Magyar Üzletemberképző Akadémia","Egyedi Access alkalmazás fejlesztése","2008","10202","0","VBA fejlesztés"
"Stromboly Event Kft.","Egyedi Excel VBA fejlesztés","2009","10203","0","VBA fejlesztés"
"Állami számvevőszék","Web-programozás","2009","10204","4","Web"
"Bizerba Hungária","Outlook levelezés és csoportmunka","2009","10205","12","Irodai"
"Auchan magyarország","Átfogó Informatikai alapképzés, Excel-Word powerPoint","2009","10206","1","Irodai"
"METRO - Budaőrs","Access alapismeretek","2009","10207","6","Irodai"
"MotorPresse kiadó","Indesign-Incopy együttműködés","2009","10208","8","Grafika"
"Vodafone Magyarország","Web-programozási alapismeretek és DRUPAL CMS","2009","10209","6","Web"
"Tredegar Kft","Excel 2003-2007 haladó","2009","10210","5","Irodai"
"Ericsson Magyarország","Excel 2003 haladó","2009","10211","12","Irodai"
"VMikroflex Kft","Illustrator-Indesign CS4","2009","10212","4","Grafika"
"Honfran Kft","Word-Excel-Outlook 2007","2009","10213","4","irodai"
"Cetelem bank","Excel 2003 haladó","2009","10214","4","Irodai"
"Geomédia Zrt.","Linux haladó rendszergazda","2009","10215","6","Linux"
"Vincotech Hungary Ltd.","MS Project 2007","2009","10216","6","Irodai"
"Vincotech Hungary Ltd.","Adobe Acrobat 9","2009","10217","10","Grafika"
"SCD Group","Excel 2003 haladó","2009","10218","4","Irodai"
"Ericsson Magyarország","Excel VBA","2009","10219","10","Irodai"
" AVIVA Biztosító zRt.","Oracle üzemeltetési és fejlesztési alapismeretek","2009","10220","3","Adatbázis"
"Fővárosi Csatornázási Művek zRt.","Windows Szerver 2003 R2","2009","10221","3","Windows szerver"
"Fővárosi Csatornázási Művek zRt.","Ms SQL adatbázisszerver","2009","10222","3","Adatbázis"
"Budapest Bank","Ms Access","2009","10223","10","Adatbázis"
"Magyar Honvédség Geoinformációa szolgálat","Ms Access - MS SQL szerver","2009","10224","16","Adatbázis"
"Caldera","Excel 2003","2009","10225","5","Irodai"
"CIB Zrt.","RedHat Linux adminisztrátori ismeretek","2009","10226","6","Linux"
"Ingatlan Consulting Group","Excel 2003 haladóknak","2009","10227","6","Irodai"
"Magyar Elekrtomos Művek zRt.","Adobe Acrobat 9","2009","10228","2","Grafika"
"Vodafone Magyarország Zrt.","Excel VBA","2010","10229","4","Irodai"
" VMikroflex Kft","Photoshop CS4 - Soltvadkert","2010","10230","6","Grafika"
"Modine Kft. - Mezőkövesd","Excel haladó és Excel VBA","2010","10231","15","Irodai"
"Neumann János Inf. SZKI","C#.NET programozás","2010","10232","9","Programozás"
"Richard Fritz Kft. - Aszód","Áttérés Office 2007-re","2010","10233","80","Irodai"
"MOL Rt.","C#, ASP .NET programozás, egyedi tematikával","2010","10234","4","Programozás"
"AVIVA Biztosító zRt.","Oracle PL/SQL ismeretek","2010","10235","3","Adatbázis"
"Kapsch telecom Kft.","RedHat Linux Enterprise","2010","10236","6","Linux"
"Pepsi Magyarország","Excel 2003 haladó","2010","10237","72","Irodai"
"Nissan Magyarország","Excel 2003 haladó","2007","10238","17","Irodai"
"Sodexo Magyarország","PowerPoint 2003 középhaladó-haladó","2010","10239","30","Irodai"
"Daikin-Myquay","Excel 2003 haladó","2010","10240","12","Irodai"
"HDI magyarország","Office 2007","2010","10241","6","Irodai"
"JNT Magyarország","Office 2007","2010","10242","12","Irodai"
"Pannon Lapok Zrt.","Excel 2003 kezdő és haladó","2010","10243","16","Irodai"
"Chinoin Zrt.","Drupla 6 webmeste oktatás és konzultáció","2010","10244","3","Web"
"Geodis","Excel VBA","2010","10245","3","Irodai"
"Nestlé Magyarország","Excel 2007 haladó","2010","10246","30","Irodai"
"Transalkim","Excel 2003 haladó és VBA","2011","10247","5","Irodai"
"Fibria","Excel 2003 haladó és VBA","2011","10248","16","Irodai"
"Bizerba Hungária","Excel 2007 haladóknak","2011","10249","12","Irodai"
"Pannon Lapok Zrt.","Excel 2003 távoktatás","2011","10250","8","Irodai"
"EGIS Nyrt.","Excel makróprogramozás, VBA","2011","10251","20","Irodai"
"Premier G. Med Onko Kft.","Exchange 2010 szerver bevezetés, átállás","2011","10252","3","Windows szerver"
"Saint-Gobain Abrasives Kft.","Excel 2003 haladó","2011","10253","12","Irodai"
"Perfect-IT Services Informatikai Kft.","Joomla tartalomkezelő","2011","10254","1","Web"
"Bau-Systeme 92 Kft","Outlook 2007","2011","10255","12","Irodai"
"ECOLAB-HYGIENE Kft ","PowerPoint 2003 egyéni tréning","2011","10256","1","Irodai"
"Richard Fritz Kft.","Outlook 2007 kezdő és haladó ismeretek","2011","10257","100","Irodai"
"3DHISTECH Kft.","Visual C# alapok, WPF és ASP.NET","2011","10258","24","Programozás"
"Cib Zrt.","Redhat Linux rendszergazdai alapismeretek","2011","10259","4","Linux"
"IFUA Horváth &Partners","Excel 2003-2007 haladó, Powerpoint 2007","2011","10260","16","Irodai"
"Alpiq Erergy SE Magyarország","MS SQL szerver, SQL programozás","2011","10261","2","Adatbázis"
"ControlVH Kft","Office 2010 középhaladó (Word, Excel, PowerPoint)","2011","10262","4","Irodai"
"DM Hungary Kft.","Excel 2003 távoktatás","2011","10263","8","Irodai"
"ICEG European Center Kft.","Office 2007 (Word, Excel, PowerPoint)","2012","10264","5","Irodai"
"ING Biztosító Zrt.","MS SQL programozás egyéni képzés","2011","10265","1","Adatbázis"
"Oney Magyarország Zrt.","Excel 2003 haladó","2011","10266","20","Irodai"
"UPC Magyarország","Excel 2007 makróprogramozás (VBA)","2012","10267","11","Irodai"
"Suppratek Modesvale","Excel makróprogramozás, műszer-kommunikáció","2012","10268","15","Irodai"
"Tesco magyarország","Office 2003 (Excel, Word, PowerPoint, Outlook, Access)","2012","10269","120","Irodai"
"Albermarle","Excel 2007 makróprogramozás (VBA)","2012","10270","10","Irodai"
"Multipolaris Zrt.","Drupal Webmester egyéni képzés","2012","10271","1","Web"
"Tesco magyarország","Office 2003 (Excel, Word, PowerPoint, Outlook, Access)","2012","10272","60","Irodai"
"Tesco magyarország","Excel VBA programozás","2012","10273","11","Irodai"
"Provident","MS SQL szerver, SQL programozás","2012","10274","11","Adatbázis"
"De Lage Landen Finance Zrt.","Excel programozás","2012","10275","5","Irodai"
"Syngenta","Excel 2010 makróprogramozás","2012","10276","2","Irodai"
"Pepsi Magyarország","Excel 2003 haladó","2012","10277","12","irodai"
"Ericsson Magyarország","Excel 2003 haladó","2012","10278","7","Irodai"
" IFUA Horváth &Partners","PowerPoint 2007","2012","10279","8","Irodai"
"IFUA Horváth &Partners","Excel 2007 haladó","2012","10280","12","Irodai"
"IFUA Horváth &Partners","Excel 2007 VBA programozás","2012","10281","12","Irodai"
"Ericsson Magyarország","Excel 2003 makróprogramozás (VBA)","2012","10282","5","Irodai"
"Suppratek Modesvale","Linux desktop ismeretek","2012","10283","12","Linux"
"Deloitte Magyarország","Excel 2010 hatékonyan","2012","10284","15","Irodai"
"Dunaújvárosi Főiskola","HTML5-CSS3","2012","10285","30","Web"
"Dunaújvárosi Főiskola","Drupal 7 alapok és Smink","2012","10286","15","Web"
"Tesco Magyarország","ORACLE PL/SQL haladóknak","2012","10287","6","Adatbázis"
"Telenor Rt.","RedHat Linux Enterprise","2013","10288","4","Linux"
"Nissan","Excel 2007 haladó és Access 2007","0000","10289","8","Irodai"
"TESCO","Access 2007 alapok","2013","10290","6","Irodai"
"Nissan","Excel 2007 haladó","2013","10291","20","Irodai"
"Nissan","Access 2007 haladó","2013","10292","15","Irodai"
"GlaxoSmithKline","Articulate oktatás-tanácsadás","2013","10293","20","irodai"
"Deliotte Magyarország","Excel 2010 egyedi tréning","2013","10294","20","irodai"
"Magyar Közlöny Lap és Könyvkiadó","Linux kezdő sé haladó","2013","10295","5","Linux"
"IFUA Horváth &Partners","PowerPoint 2010","2013","10296","10","Irodai"
"IFUA Horváth &Partners","Excel haladó","2013","10297","20","Irodai"
"IFUA Horváth &Partners","Excel automatizálás","2013","10298","20","Irodai"
"Béres Egészségtár","Excel 2010 makróprogramozás","2013","10299","4","Irodai"
"IFUA Horváth &Partners","Excel makróprogramozás - VBA","2013","10300","8","Irodai"
"Antenna Hungária Zrt.","SQL-Adatbázis-kezelés","2013","10301","5","Adatbázis"
"Budapest Gyógyfürdő","TCP/IP alap és haladó","2013","10302","5","Hálózatok"
"Budapest Gyógyfürdő","Windows Szerver 2012","2013","10303","5","Windows szerver"
"Budapest Film","Excel 2010 haladó és makrók","2013","10304","10","Irodai"
"Sika Hungária Kft.","Indesign 5.5 alapok","2013","10305","3","Grafika"
"Michelin","MS Access haladőknak","2013","10306","8","Irodai"
"Vodafon","Photoshop 5.5 alapok","2013","10307","10","Grafika"
"Michelin","MS Access haladóknak","2014","10308","6","Adatbázis"
" Antenna Hungária Zrt."," TCP/IP alap és haladó","2014","10309","5","Hálózatok"
"Takarék Akadémia","Excel 2010 alapismeretek","2014","10310","11","Irodai"
